ID;ILCELER;2015;2016;2017;2018;2019;2020;2021;2022
1;ADALAR;1.432.494;1.472.276;1.366.581;1.399.182;1.371.291;1.513.070;1.435.991;1.543.403
2;ARNAVUTKOY;8.002.123;9.178.953;10.176.132;11.404.878;13.818.204;15.570.466;17.102.127;18.891.299
3;ATASEHIR;18.597.049;19.974.097;21.205.911;21.496.185;22.428.468;23.737.630;24.281.319;24.377.611
4;AVCILAR;16.220.476;17.052.253;17.558.403;18.312.736;19.485.453;20.824.893;20.690.506;21.556.002
5;BUYUKCEKMECE;9.915.435;10.788.924;11.172.787;12.222.470;13.606.571;16.015.731;16.167.480;17.412.198
6;BAHCELIEVLER;23.610.609;24.320.533;24.868.593;26.167.510;27.841.515;29.008.190;27.729.806;29.152.163
7;BAKIRKOY;11.510.117;11.793.169;12.509.301;15.846.543;15.774.446;16.341.601;15.553.880;15.658.908
8;BAYRAMPASA;11.545.682;11.914.393;12.516.185;13.226.158;13.630.782;14.121.835;13.716.008;14.188.089
9;BAGCILAR;26.691.720;28.182.511;29.362.186;31.241.616;32.393.615;35.237.135;34.658.417;35.848.593
10;BASAKSEHIR;16.174.934;18.100.255;19.576.095;21.789.720;25.124.137;27.940.128;30.164.361;31.722.402
11;BEYKOZ;10.254.740;10.891.434;11.331.655;12.018.646;12.651.607;14.110.935;14.309.594;14.201.827
12;BEYLIKDUZU;12.346.365;13.630.387;14.948.006;16.738.110;17.387.725;20.325.425;20.415.406;22.961.265
13;BEYOGLU;11.167.382;11.311.755;11.420.559;12.276.523;14.217.061;14.377.004;14.150.050;16.331.938
14;BESIKTAS;11.976.186;12.385.216;12.609.953;13.159.182;14.877.984;15.540.651;15.485.294;15.995.329
15;ESENLER;15.854.265;16.584.976;17.162.651;17.804.043;19.175.326;20.448.476;19.594.278;20.316.717
16;ESENYURT;27.933.397;32.799.007;36.083.030;39.205.682;43.576.187;59.865.610;48.988.082;52.836.878
17;EYUPSULTAN;17.116.911;17.901.848;18.222.331;19.353.177;21.229.333;22.471.320;22.049.182;22.896.218
18;FATIH;22.358.121;21.781.211;21.983.686;23.898.917;25.804.441;25.146.679;24.965.681;28.078.147
19;GOP;17.730.853;18.637.751;18.940.716;19.614.773;20.339.712;21.523.489;21.273.432;21.711.282
20;GUNGOREN;18.994.573;12.600.044;12.769.886;13.316.278;13.925.783;14.181.195;13.788.130;14.305.999
21;KUCUKCEKMECE;29.188.561;31.086.665;31.994.320;33.889.979;35.731.905;38.012.294;38.030.116;38.832.413
22;KADIKOY;23.910.542;24.310.256;24.797.597;26.133.035;29.163.147;30.335.037;30.091.668;30.933.432
23;KARTAL;19.155.143;20.007.459;20.375.603;21.603.458;22.120.380;24.044.402;23.426.846;25.696.738
24;KAGITHANE;18.207.418;19.030.632;19.286.724;20.103.122;20.978.127;22.615.121;21.257.865;23.152.747
25;MALTEPE;21.906.064;22.794.286;22.703.875;24.122.700;26.072.596;27.235.906;26.468.078;27.824.535
26;PENDIK;26.499.977;28.474.258;29.743.117;31.793.762;33.631.440;36.518.039;36.672.757;38.555.916
27;SANCAKTEPE;12.313.398;14.090.151;15.239.008;16.749.300;18.066.203;20.334.753;20.714.459;21.957.759
28;SARIYER;17.555.072;18.711.570;19.427.187;20.565.527;21.989.067;23.409.803;23.646.023;25.503.566
29;SULTANBEYLI;9.599.250;10.224.559;10.814.861;11.481.268;12.120.982;13.732.990;13.794.759;14.450.593
30;SALTANGAZI;17.142.236;18.219.393;19.163.693;20.317.332;21.540.504;23.549.732;23.226.015;24.147.507
31;SILIVRI;7.620.350;8.227.604;8.452.805;8.941.729;10.056.059;11.744.060;12.232.563;13.216.660
32;TUZLA;11.546.080;12.690.324;13.625.147;14.956.036;16.936.290;20.495.275;32.598.699;24.758.012
33;ZEYTINBURNU;12.576.945;13.068.037;13.469.519;14.272.304;14.827.378;15.842.440;15.630.079;16.887.563
34;CATALCA;2.931.018;3.222.450;3.311.210;3.665.598;4.080.220;5.038.009;4.853.591;4.961.608
35;CEKMEKOY;8.951.936;9.705.483;10.205.702;10.808.688;11.658.154;13.337.413;13.369.537;14.902.585
36;UMRANIYE;28.085.173;30.065.065;31.061.816;32.858.425;33.918.205;36.324.008;35.801.227;37.618.657
37;USKUDAR;25.142.059;26.110.542;26.353.986;27.205.893;28.298.739;29.491.392;29.074.076;29.904.256
38;SILE;1.835.302;2.098.928;2.196.246;2.522.410;2.965.979;3.962.073;3.928.416;4.247.815
39;SISLI;15.717.630;15.948.709;16.076.563;17.063.291;18.875.509;19.240.101;18.357.725;20.376.715
